time,latitude,longitude,depth,mag
2017-01-01T10:20:10.700Z,-29.992,-71.8472,17.78,3.9
2017-01-01T07:50:21.380Z,-29.995,-71.7813,40.36,4.3
2017-01-01T03:25:38.490Z,-29.6335,-71.3277,42.3,4.1
2016-12-26T01:34:34.240Z,-32.1807,-72.3683,24.92,4
2016-12-24T00:50:40.320Z,-29.6391,-71.7209,35,4.1
2016-12-19T15:36:46.930Z,-30.767,-71.4801,35.06,4.9
2016-12-19T05:19:33.050Z,-29.9115,-71.8095,22.14,3.8
2016-12-18T16:25:11.000Z,-31.736,-71.254,54.4,4
2016-12-17T08:06:55.570Z,-30.2568,-71.5685,34.3,4.1
2016-12-16T23:56:38.850Z,-30.3845,-71.6986,35,4
2016-12-16T23:11:43.220Z,-30.4233,-71.6189,35.61,5.2
2016-12-13T21:06:40.000Z,-30.439,-71.624,30.7,4.1
2016-12-12T06:58:18.260Z,-29.694,-71.4479,43.22,3.9
2016-12-12T04:45:39.850Z,-32.623,-71.3997,35.67,3.8
2016-12-12T01:40:25.010Z,-30.9368,-71.4241,49.94,4.8
2016-12-09T15:09:51.050Z,-31.524,-71.6302,51.9,4.4
2016-12-08T20:44:34.930Z,-31.4901,-71.6604,33.53,4.9
2016-12-08T20:42:36.000Z,-31.548,-71.798,41.2,5.2
2016-12-08T05:42:58.900Z,-31.6268,-71.9176,10,4.4
2016-12-03T04:30:58.700Z,-32.178,-71.9788,22.54,4.7
2016-12-02T03:49:57.840Z,-30.9055,-71.5411,50.6,4.4
2016-11-27T00:54:55.790Z,-30.3147,-72.2933,10,4.5
2016-11-27T00:31:23.640Z,-30.3229,-72.2299,11.22,4.3
2016-11-25T14:14:58.680Z,-31.8605,-71.86,6.23,4.3
2016-11-23T16:43:33.230Z,-29.8481,-71.4727,48.25,4.2
2016-11-17T00:24:04.530Z,-32.8657,-69.1676,10,3.9
2016-11-14T10:11:29.870Z,-30.0252,-71.7054,28.86,4.4
2016-11-13T17:43:28.540Z,-31.688,-71.5981,48.3,4.2
2016-11-11T03:16:54.220Z,-30.1153,-72.1214,31.35,4
2016-11-11T00:11:05.940Z,-32.1282,-71.8286,20.22,3.9
2016-11-03T02:17:06.000Z,-31.501,-71.66,42.2,3.9
2016-10-31T21:04:52.230Z,-29.8482,-72.152,7.73,4.5
2016-10-31T02:15:11.090Z,-31.8266,-71.6925,19.48,4.3
2016-10-30T04:01:03.000Z,-31.2222,-71.8622,19.23,3.9
2016-10-29T11:57:40.000Z,-30.482,-71.546,22.4,4.3
2016-10-23T06:09:17.030Z,-30.8752,-71.5334,36.94,4
2016-10-21T19:02:32.720Z,-30.7072,-71.4771,42.26,4.3
2016-10-16T08:37:50.900Z,-30.6239,-71.5987,31.86,4.2
2016-10-15T13:03:44.470Z,-32.8439,-69.1568,10,3.5
2016-10-12T01:59:21.930Z,-30.695,-71.53,38.44,4.9
2016-10-10T12:21:19.630Z,-30.4219,-72.0999,17.65,4
2016-10-08T17:27:22.020Z,-29.6267,-72.1482,15.39,4.1
2016-10-08T04:43:47.110Z,-29.4096,-71.2357,49.84,4.2
2016-10-05T07:22:39.400Z,-30.6786,-71.456,39.76,4
2016-10-01T11:25:11.000Z,-32.078,-71.709,16.3,4.6
2016-10-01T10:25:57.270Z,-29.625,-72.0474,10,4.8
2016-09-25T04:54:36.960Z,-32.0574,-71.9229,41.86,4
2016-09-25T01:23:48.250Z,-30.3432,-71.7837,30.32,4.6
2016-09-24T20:07:18.350Z,-32.636,-71.6599,17.72,3.9
2016-09-24T02:56:14.350Z,-29.8407,-71.6931,29.74,3.7
2016-09-21T22:04:50.700Z,-31.7533,-70.633,10,4.7
2016-09-20T10:22:58.780Z,-30.7002,-71.4632,47.54,4.2
2016-09-18T16:06:58.000Z,-30.663,-71.372,50.5,4.1
2016-09-13T10:14:16.000Z,-30.688,-71.254,47.2,4.2
2016-09-13T10:00:54.550Z,-31.5715,-72.0042,35,3.8
2016-09-13T08:28:55.970Z,-30.3889,-72.0973,14.08,4.2
2016-09-09T01:01:19.150Z,-30.6434,-71.7846,42.47,4.3
2016-09-08T13:59:06.090Z,-30.4545,-72.2593,10,4.4
2016-09-07T22:54:32.590Z,-32.3206,-71.6197,30.49,4.9
2016-09-02T13:03:29.110Z,-32.1223,-72.0869,7.58,4.3
2016-08-29T04:04:38.170Z,-30.6643,-71.3861,49.06,4.3
2016-08-27T19:36:08.080Z,-32.7701,-71.7105,27.82,4.4
2016-08-26T21:00:48.570Z,-29.6023,-72.1041,10,4
2016-08-23T11:57:29.220Z,-30.3317,-72.3613,9.21,4.4
2016-08-19T03:35:26.040Z,-30.623,-71.5614,26.75,4.1
2016-08-16T09:27:28.870Z,-29.8447,-71.6323,24.06,4
2016-08-13T14:21:45.640Z,-32.4071,-71.8054,35,3.8
2016-08-10T17:37:07.000Z,-30.747,-71.407,46.2,4.6
2016-08-10T06:43:40.130Z,-31.9631,-71.6571,31.89,4.5
2016-08-09T17:56:13.460Z,-31.7338,-72.214,17.56,4.5
2016-08-08T12:24:32.820Z,-31.5865,-71.6537,29.95,5
2016-08-08T04:19:42.890Z,-31.717,-72.3278,10,4
2016-08-06T10:05:22.480Z,-31.7628,-72.2635,10,4.3
2016-08-03T03:01:26.630Z,-29.6437,-72.0621,29.29,4.3
2016-07-30T09:38:40.020Z,-30.5515,-72.0131,18.18,4.2
2016-07-29T16:52:15.540Z,-31.5503,-71.5508,42.34,4.6
2016-07-29T14:45:08.940Z,-30.3887,-72.1034,18.16,4.4
2016-07-29T07:35:35.420Z,-31.7257,-71.8636,32.03,4.3
2016-07-28T00:34:20.660Z,-30.3675,-71.6354,27.62,4.3
2016-07-26T23:00:21.700Z,-32.633,-71.8415,16.35,4.8
2016-07-25T14:59:29.550Z,-30.8276,-71.5075,41.69,4.7
2016-07-25T04:21:16.000Z,-30.707,-71.346,51.1,4.2
2016-07-23T14:18:20.490Z,-31.1753,-71.9182,35,4.1
2016-07-22T19:45:46.620Z,-30.6931,-71.7287,33.88,4.2
2016-07-19T07:59:48.660Z,-30.1461,-72.1675,8.34,4.6
2016-07-19T05:18:40.260Z,-30.2523,-71.9722,8.01,5.8
2016-07-19T04:33:49.830Z,-30.6216,-71.5736,22.55,4
2016-07-18T13:58:19.170Z,-30.7067,-71.852,25.5,4.8
2016-07-18T08:59:43.390Z,-30.3561,-71.8616,35,5
2016-07-18T02:58:50.040Z,-30.7537,-71.7935,23.97,5.2
2016-07-18T01:13:14.520Z,-30.8154,-71.5824,24.22,4.5
2016-07-14T06:48:59.780Z,-31.7306,-71.4545,43.45,4.3
2016-07-13T14:41:56.970Z,-30.6202,-71.284,42.31,4.2
2016-07-11T16:15:58.560Z,-29.8653,-72.1306,7.65,4.7
2016-07-11T13:27:36.620Z,-30.6879,-71.4136,48.82,4.9
2016-07-07T21:54:06.000Z,-30.5704,-71.5705,41.03,4.1
2016-07-06T23:56:28.540Z,-30.3666,-71.5699,35.17,4.5
2016-07-05T09:53:07.030Z,-30.4051,-71.7752,26.31,4
2016-07-04T00:13:03.830Z,-31.4434,-71.5559,44.03,4.6
2016-07-01T22:20:08.090Z,-30.8029,-71.4833,38.19,4.6
2016-06-29T03:54:21.610Z,-30.1243,-72.0619,12.13,4.4
2016-06-28T23:07:29.330Z,-30.361,-71.692,29.47,4.8
2016-06-28T11:18:51.470Z,-31.6801,-72.2192,22.34,4.3
2016-06-28T10:37:36.350Z,-31.7328,-72.2292,10,4.1
2016-06-27T12:51:13.180Z,-31.7806,-71.4198,45.67,5
2016-06-26T22:52:16.570Z,-30.5862,-71.6757,24.91,4.2
2016-06-25T10:47:31.890Z,-31.7063,-72.215,10,4.3
2016-06-25T00:47:28.510Z,-31.5343,-71.5511,40.2,4.4
2016-06-22T09:58:38.300Z,-31.2096,-72.2674,15.45,4.1
2016-06-22T03:54:40.610Z,-30.6352,-71.6921,26.01,5.1
2016-06-22T03:54:32.160Z,-30.5947,-71.7239,22.65,4.4
2016-06-20T11:08:10.850Z,-31.5664,-72.019,19.65,4
2016-06-20T01:31:21.130Z,-30.2206,-72.0643,10,4.2
2016-06-19T20:55:03.800Z,-30.9997,-71.8308,35,4.1
2016-06-19T00:01:07.000Z,-30.46,-71.643,25,4.1
2016-06-17T06:38:25.680Z,-30.661,-71.7577,30,4.8
2016-06-17T03:48:38.690Z,-30.0617,-71.5824,33.79,4.5
2016-06-16T01:14:45.440Z,-30.6707,-71.3203,58.41,4.7
2016-06-14T23:05:19.690Z,-32.273,-72.0251,10,3.9
2016-06-14T11:43:24.300Z,-30.1495,-71.6555,34.13,4.3
2016-06-11T13:44:59.130Z,-30.2466,-71.6035,35,4.3
2016-06-08T19:12:46.290Z,-30.0208,-72.0311,8.1,4.3
2016-06-08T11:37:19.180Z,-30.1008,-71.5626,26.67,3.8
2016-06-08T10:53:30.060Z,-31.5449,-71.7786,14.49,4.2
2016-06-07T07:06:46.440Z,-31.047,-71.9128,19.53,3.9
2016-06-06T13:21:59.190Z,-30.069,-71.5238,29.5,5.4
2016-06-06T13:16:02.220Z,-30.0433,-71.4636,28.31,5.5
2016-06-06T06:53:10.980Z,-31.9965,-71.636,34.95,4.3
2016-06-05T09:30:52.680Z,-29.2922,-72.0074,35,4
2016-06-05T05:51:11.550Z,-29.3424,-71.8594,28,5.8
2016-06-04T22:19:05.490Z,-31.5964,-71.5236,45.18,4.3
2016-06-03T20:47:12.000Z,-31.466,-71.72,25.1,4
2016-06-03T00:16:15.400Z,-30.0499,-71.6387,38.94,3.9
2016-06-01T21:47:56.030Z,-30.1057,-72.2256,10,4.1
2016-05-30T12:41:55.940Z,-31.6518,-71.4394,56,4.7
2016-05-30T05:59:01.090Z,-32.2672,-71.8,25.9,4
2016-05-29T23:17:51.090Z,-31.7586,-72.295,35,4.4
2016-05-27T17:48:34.470Z,-31.092,-71.6953,26.01,4
2016-05-26T20:36:50.530Z,-29.943,-71.8753,17,4.8
2016-05-23T12:39:35.970Z,-32.0722,-71.9,10.54,4.4
2016-05-22T11:47:09.110Z,-30.6111,-71.6884,25.77,5.1
2016-05-20T15:00:59.000Z,-31.83,-72.3,30,4.2
2016-05-20T08:29:43.850Z,-31.8308,-72.1706,10,4.3
2016-05-19T19:25:52.040Z,-31.8385,-72.1155,10,4.4
2016-05-19T18:28:33.970Z,-30.712,-71.4365,45.6,4.6
